code,name,kind,sido,pop,area,dens,e65,ealone,single,flood_r,ls_r,slope,coastal,border,rz_n,rz_per100,shel,shel_per10k
26200,영도구,구,부산광역시,96902,14.6,6622.8,0.3603,0.2376,0.4801,0.0217,0.0,8.66,1,0,3,20.5,126,13.0
26230,부산진구,구,부산광역시,364481,29.5,12345.0,0.2468,0.1447,0.4801,0.0959,0.0,14.43,0,0,2,6.77,89,2.44
26260,동래구,구,부산광역시,270741,17.0,15889.1,0.243,0.1469,0.367,0.4167,0.0,10.61,0,0,3,17.61,125,4.62
26290,남구,구,부산광역시,254774,26.5,9609.0,0.2581,0.1438,0.4127,0.1061,0.0,9.94,1,0,12,45.26,94,3.69
26320,북구,구,부산광역시,260432,40.3,6464.0,0.2677,0.171,0.3765,0.2323,0.0101,15.22,0,0,4,9.93,101,3.88
26350,해운대구,구,부산광역시,359559,52.5,6847.9,0.2401,0.1423,0.3645,0.2188,0.0,12.86,1,0,8,15.24,120,3.34
26380,사하구,구,부산광역시,281665,45.0,6252.8,0.2796,0.1753,0.4271,0.0354,0.0,9.71,1,0,7,15.54,79,2.8
26410,금정구,구,부산광역시,205483,65.2,3151.3,0.2938,0.1733,0.4694,0.1554,0.0,15.01,0,0,1,1.53,74,3.6
26440,강서구,구,부산광역시,154119,189.8,811.9,0.1555,0.1011,0.3634,0.0572,0.0,6.32,1,0,16,8.43,30,1.95
26470,연제구,구,부산광역시,211580,12.1,17527.3,0.2493,0.1488,0.4066,0.3947,0.0,10.76,0,0,2,16.57,112,5.29
26500,수영구,구,부산광역시,160048,10.7,14955.1,0.276,0.152,0.4685,0.3514,0.0,8.93,1,0,7,65.41,102,6.37
26530,사상구,구,부산광역시,192275,36.8,5228.1,0.2786,0.1723,0.4598,0.1236,0.0,11.04,0,0,4,10.88,96,4.99
26710,기장군,군,부산광역시,175402,221.1,793.3,0.2153,0.1509,0.3938,0.1486,0.0,15.11,1,0,14,6.33,32,1.82
27110,중구,구,대구광역시,95882,7.1,13540.3,0.1861,0.1204,0.4801,0.0,0.0,4.1,0,0,0,0.0,41,4.28
27140,동구,구,대구광역시,338544,182.3,1856.7,0.2576,0.1672,0.4281,0.0,0.0051,15.41,0,0,5,2.74,106,3.13
27170,서구,구,대구광역시,132048,17.3,7636.4,0.3062,0.2063,0.4803,0.0,0.0,5.75,0,0,2,11.57,34,2.57
27200,남구,구,대구광역시,133979,17.5,7662.2,0.2819,0.1852,0.5301,0.0,0.0,12.57,0,0,0,0.0,57,4.25
27230,북구,구,대구광역시,406587,93.8,4335.3,0.2121,0.1337,0.4155,0.0,0.0,11.99,0,0,8,8.53,143,3.52
27260,수성구,구,대구광역시,397635,76.5,5198.6,0.2098,0.1285,0.3402,0.0,0.0,13.46,0,0,3,3.92,96,2.41
27290,달서구,구,대구광역시,512963,64.3,7979.5,0.2177,0.1386,0.3914,0.0,0.0,11.3,0,0,3,4.67,199,3.88
27710,달성군,군,대구광역시,203873,423.9,481.0,0.2029,0.1311,0.3752,0.0097,0.0,15.91,0,0,13,3.07,95,4.66
27720,군위군,군,대구광역시,22552,612.8,36.8,0.5019,0.3082,0.5426,0.0,0.0163,18.1,0,0,21,3.43,5,2.22
28125,제물포구,구,인천광역시,83112,23.3,3571.6,0.3049,0.208,0.4758,0.0,0.0,3.54,1,0,1,4.3,54,6.5
28155,영종구,구,인천광역시,138091,131.5,1050.2,0.1217,0.0669,0.4734,0.0,0.0,4.53,1,0,1,0.76,22,1.59
28177,미추홀구,구,인천광역시,405306,24.7,16436.6,0.2205,0.137,0.4486,0.0588,0.0,6.16,0,0,3,12.17,110,2.71
28185,연수구,구,인천광역시,410280,72.3,5677.7,0.1473,0.0775,0.3122,0.0,0.0,3.04,1,0,1,1.38,77,1.88
28200,남동구,구,인천광역시,478762,58.0,8256.0,0.2148,0.1366,0.417,0.0267,0.0,6.89,0,0,3,5.17,128,2.67
28237,부평구,구,인천광역시,487661,32.1,15211.0,0.2129,0.1283,0.3853,0.0,0.0,7.59,0,0,3,9.36,105,2.15
28245,계양구,구,인천광역시,276125,45.6,6058.1,0.2147,0.1318,0.3926,0.1488,0.0,7.03,0,0,0,0.0,46,1.67
28275,서해구,구,인천광역시,392173,72.2,5434.5,0.1671,0.101,0.375,0.0,0.0,5.77,1,0,1,1.39,68,1.73
28290,검단구,구,인천광역시,273735,60.7,4508.5,0.1237,0.0752,0.3046,0.0197,0.0,6.77,0,0,2,3.29,38,1.39
28710,강화군,군,인천광역시,69291,459.1,150.9,0.4197,0.2445,0.4575,0.0,0.0,7.02,1,0,1,0.22,90,12.99
28720,옹진군,군,인천광역시,17786,198.2,89.7,0.367,0.2323,0.6339,0.0,0.0,8.12,1,0,3,1.51,52,29.24
30110,동구,구,대전광역시,218050,136.6,1595.8,0.2494,0.1631,0.4924,0.0295,0.0029,17.0,0,0,2,1.46,111,5.09
30140,중구,구,대전광역시,224034,61.9,3617.7,0.2528,0.1631,0.4385,0.0258,0.0452,15.33,0,0,0,0.0,91,4.06
